check_id,scope,candidate_cell_id,observed_value,expected_rule,status,blocking,detail
g_retrospective_days_invariant,r2_s_pcvt_w250_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pcvt_w250_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pcvt_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pcvt_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pct_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pct_w120_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pct_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pcvt_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pct_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pct_w250_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pct_w250_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pcvt_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pcvt_w120_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_retrospective_days_invariant,r2_s_pct_w250_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w250_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w250_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w120_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w120_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w120_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w250_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w250_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w120_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w250_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w120_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w120_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pct_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_asof_days_invariant,r2_s_pcvt_w250_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w120_qt25_primary:g=0,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w120_qt25_primary:g=2,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w250_qt25_primary:g=1,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w250_qt25_primary:g=2,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pcvt_w250_qv30_primary:g=0,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w120_q20_shared:g=2,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w250_q20_shared:g=2,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pcvt_w120_q20_shared:g=2,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pcvt_w250_q20_shared:g=2,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w250_qt25_primary:g=0,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pcvt_w120_qv30_primary:g=0,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w250_q20_shared:g=1,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pcvt_w120_q20_shared:g=1,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pct_w120_qt25_primary:g=1,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pcvt_w120_qv30_primary:g=2,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pcvt_w250_qv30_primary:g=1,,0,=0,passed,True,parameter_invariant_profile
d_component_nonincreasing,r2_s_pcvt_w250_qv30_primary:g=2,,0,=0,passed,True,parameter_invariant_profile
